brooklyn_rank,start_station_id,start_station_name,lat,lon,capacity,trip_count,avg_duration_min,member_pct,trips_per_dock
606,5002.09,Harman St & Seneca Ave,40.70577,-73.91292,19,716,10.52,77.1,37.7
607,4576.11,Lafayette Ave & Stuyvesant Ave,40.6919925157634,-73.9325501024723,24,713,13.25,77.3,29.7
608,4243.01,Commerce St & Van Brunt St,40.6812117,-74.00860912,19,711,12.94,88.3,37.4
609,5084.03,Division Ave & Marcy Ave,40.70708701,-73.95796783,33,708,14.04,84.7,21.5
610,4550.05,Central Ave & Covert St,40.68929,-73.90951,30,702,11.18,85.6,23.4
611,5140.06,Bushwick Ave & Stagg St,40.709897,-73.94008,21,697,12.07,81.5,33.2
612,4721.01,Cedar St & Evergreen Ave,40.69671,-73.92807,25,690,12.52,82.3,27.6
613,3665.06,Sterling St & Bedford Ave,40.6627059,-73.9569115,19,687,12.17,85.3,36.2
614,3552.09,Bedford Ave & Fenimore St,40.65815,-73.95674,20,686,13.08,81.8,34.3
614,4181.10,Brevoort Pl & Bedford Ave,40.68012,-73.95362,24,686,12.21,83.5,28.6
616,4202.04,Richards St & Delavan St,40.6794327,-74.00785041,19,685,13.18,92.3,36.1
616,3376.04,Parkside Ave & Parade Pl,40.6532,-73.96639,22,685,11.53,81.2,31.1
618,4663.06,Putnam Ave & Knickerbocker Ave,40.69545,-73.91164,29,684,13.66,68.4,23.6
619,4334.02,Halsey St & Ralph Ave,40.68494,-73.92299,20,676,13.09,78.6,33.8
620,3710.07,Lefferts Ave & Schenectady Ave,40.66343,-73.93472,27,672,10.18,91.7,24.9
621,4366.01,Halsey St & Broadway,40.68565,-73.91564,20,663,10.55,81.1,33.2
622,4735.16,Hancock St & Wyckoff Ave,40.6972,-73.90674,19,662,12.83,76.1,34.8
623,4301.04,Macon St & Patchen Ave,40.68374,-73.9261,19,661,10.82,86.8,34.8
624,4095.10,Van Brunt St & Van Dyke St,40.6758329439129,-74.01472628116608,24,657,13.97,84.6,27.4
625,4298.05,Degraw St & Smith St,40.6829151,-73.99318208,27,656,9.88,89.2,24.3
625,3169.07,53 St & 4 Ave,40.644862,-74.014531,25,656,10.29,87.3,26.2
627,4220.02,Ralph Ave & Fulton St,40.67922,-73.92192,25,652,9.78,81.4,26.1
628,3306.03,5 Ave & 41 St,40.649983,-74.005144,30,651,12.62,83.7,21.7
