geoid,borough,centroid_lat,centroid_lon,population,median_income,no_vehicle_pct,transit_commute_pct,bike_commute_pct,has_citibike,coverage_status
36005019300,Bronx,40.83634715830322,-73.92932302497853,5933.0,38663.0,84.0,75.3,0.0,1,Covered
36005042500,Bronx,40.871047292262666,-73.87909041891005,5890.0,42839.0,68.5,60.3,0.0,1,Covered
36005006301,Bronx,40.82182297243879,-73.92905251764711,5845.0,55396.0,72.0,59.2,0.0,1,Covered
36005008500,Bronx,40.816276217460825,-73.89908312034909,5746.0,34543.0,71.5,62.4,1.72,1,Covered
36005036100,Bronx,40.84226046327801,-73.87957609852681,5672.0,24728.0,80.6,54.6,0.0,1,Covered
36005014701,Bronx,40.83423143488103,-73.90533097693063,5645.0,25858.0,82.8,58.7,0.0,1,Covered
36005002500,Bronx,40.8070024787216,-73.92087492512658,5642.0,27378.0,82.6,59.9,1.96,1,Covered
36005006500,Bronx,40.81739834641281,-73.92165922012036,5627.0,22985.0,85.6,66.5,0.0,1,Covered
36005041500,Bronx,40.87010516282656,-73.88354910318819,5627.0,42188.0,79.0,79.1,0.87,1,Covered
36005004300,Bronx,40.81362131412285,-73.91703759685335,5627.0,34890.0,74.8,66.9,0.72,1,Covered
36005042100,Bronx,40.881461321367965,-73.88273400476977,5621.0,52714.0,68.0,55.2,0.0,1,Covered
36005039902,Bronx,40.86042383119689,-73.8947648639092,5589.0,50534.0,72.3,53.4,0.0,1,Covered
36005030701,Bronx,40.89315132190879,-73.91057416390039,5586.0,134700.0,24.3,36.0,0.0,1,Covered
36005043101,Bronx,40.88372709937796,-73.87898984149716,5578.0,39792.0,67.5,54.2,0.0,1,Covered
36005015700,Bronx,40.83299907223067,-73.88544996976417,5520.0,39776.0,73.4,72.9,0.0,1,Covered
36005017702,Bronx,40.836177567547686,-73.90954979814765,5480.0,47963.0,55.8,56.2,0.0,1,Covered
36005029302,Bronx,40.879279553894975,-73.91586183728903,5475.0,121250.0,21.8,35.0,0.0,1,Covered
36005012901,Bronx,40.82262937429277,-73.89873385384098,5469.0,40575.0,76.4,57.1,8.75,1,Covered
36005022901,Bronx,40.84609275445488,-73.90721907391679,5466.0,50023.0,74.7,76.8,0.0,1,Covered
36005018102,Bronx,40.83226500950936,-73.91813836996559,5453.0,33950.0,86.1,67.1,0.0,1,Covered
36005022300,Bronx,40.84052513472651,-73.91508850128326,5447.0,33646.0,90.5,69.0,1.7,1,Covered
36005038900,Bronx,40.856400052007075,-73.88499759825169,5440.0,42574.0,67.2,48.9,0.0,1,Covered
36005038500,Bronx,40.85617599849655,-73.89250822975002,5401.0,24605.0,75.9,66.5,0.0,1,Covered
36005005300,Bronx,40.85219868606056,-73.92178238728346,5379.0,26437.0,76.8,61.9,0.0,1,Covered
36005021700,Bronx,40.84818184617784,-73.91330807007846,5371.0,40394.0,78.9,59.4,1.83,1,Covered
36005014702,Bronx,40.83653497270605,-73.90439141353437,5232.0,21196.0,77.8,66.9,0.0,1,Covered
36005023703,Bronx,40.860042585022896,-73.8995705611203,5214.0,21551.0,88.9,64.4,0.0,1,Covered
36005015100,Bronx,40.83108437430004,-73.898481241492,5143.0,28618.0,70.0,50.3,0.97,1,Covered
36005039901,Bronx,40.86351114612041,-73.89364063731563,5120.0,39524.0,79.2,76.3,0.6,1,Covered
